date,Amazonia
1981,21.156264795942928
1982,20.878478829648937
1983,21.418440431168317
1984,20.692129071011156
1985,20.862633671970574
1986,20.65926790733279
1987,21.308747494745145
1988,21.21416966329281
1989,20.81019490909175
1990,21.05694695817975
1991,21.098081470530428
1992,21.15723854192943
1993,20.857806549765233
1994,20.84518638393677
1995,21.3387685673434
1996,20.877087863353104
1997,21.213149177377055
1998,21.539937207482367
1999,20.63836475321602
2000,20.742135711737326
2001,20.8480292224862
2002,21.038414919900724
2003,21.05698746887186
2004,21.160421373452778
2005,21.44629377786312
2006,21.22283283320121
2007,21.34052189007096
2008,21.14370138658669
2009,21.306189953571106
2010,21.740409826753478
2011,21.141480323014086
2012,21.02648860055833
2013,21.156319186943957
2014,21.157123048982246
2015,21.342017090183518
2016,21.644334111209666
2017,21.3506035531311
2018,21.043137794065327
2019,21.22552513684809
2020,21.58131884747631
2021,21.201702643647966
2022,21.26736185045763
2023,21.692433194893493
